feature,fold_id,test_date,coefficient,model,theme,description
X_feature_market_cap_log_std504,7,2015-05-14,0.021972702195247013,ridge,Size,how much log market cap moved over 504 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std504,8,2017-09-29,0.022971145808696747,ridge,Size,how much log market cap moved over 504 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std504,9,2020-02-20,0.019387445723017056,ridge,Size,how much log market cap moved over 504 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std504,10,2022-07-08,0.01777484454214573,ridge,Size,how much log market cap moved over 504 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std504,11,2024-11-25,0.015717404273649056,ridge,Size,how much log market cap moved over 504 days (std of the level: volatility plus trend)
X_feature_market_cap_log_to_max504,0,1998-09-03,-0.00757291695723931,ridge,Size,market cap relative to its 504-day high
X_feature_market_cap_log_to_max504,1,2001-01-22,-0.0002584903462169071,ridge,Size,market cap relative to its 504-day high
X_feature_market_cap_log_to_max504,2,2003-06-13,-0.00143720512278378,ridge,Size,market cap relative to its 504-day high
X_feature_market_cap_log_to_max504,3,2005-10-28,0.0031089188220600286,ridge,Size,market cap relative to its 504-day high
X_feature_market_cap_log_to_max504,4,2008-03-20,0.0057709972995022936,ridge,Size,market cap relative to its 504-day high
X_feature_market_cap_log_to_max504,5,2010-08-06,0.006822512019425631,ridge,Size,market cap relative to its 504-day high
X_feature_market_cap_log_to_max504,6,2012-12-24,0.006493158793697755,ridge,Size,market cap relative to its 504-day high
X_feature_market_cap_log_to_max504,7,2015-05-14,0.005529224406927824,ridge,Size,market cap relative to its 504-day high
X_feature_market_cap_log_to_max504,8,2017-09-29,0.005941839733471473,ridge,Size,market cap relative to its 504-day high
X_feature_market_cap_log_to_max504,9,2020-02-20,0.008331047060588995,ridge,Size,market cap relative to its 504-day high
X_feature_market_cap_log_to_max504,10,2022-07-08,0.009396685908238092,ridge,Size,market cap relative to its 504-day high
X_feature_market_cap_log_to_max504,11,2024-11-25,0.009158004385729631,ridge,Size,market cap relative to its 504-day high
X_feature_market_cap_log_to_min126,0,1998-09-03,0.006655713077634573,ridge,Size,market cap relative to its 126-day low
X_feature_market_cap_log_to_min126,1,2001-01-22,-0.008759025173882643,ridge,Size,market cap relative to its 126-day low
X_feature_market_cap_log_to_min126,2,2003-06-13,-0.013414670092364153,ridge,Size,market cap relative to its 126-day low
X_feature_market_cap_log_to_min126,3,2005-10-28,-0.00873128573099772,ridge,Size,market cap relative to its 126-day low
X_feature_market_cap_log_to_min126,4,2008-03-20,-0.008494369685649872,ridge,Size,market cap relative to its 126-day low
X_feature_market_cap_log_to_min126,5,2010-08-06,-0.005455866921693087,ridge,Size,market cap relative to its 126-day low
X_feature_market_cap_log_to_min126,6,2012-12-24,-0.006423074131210645,ridge,Size,market cap relative to its 126-day low
X_feature_market_cap_log_to_min126,7,2015-05-14,-0.006059506442397833,ridge,Size,market cap relative to its 126-day low
X_feature_market_cap_log_to_min126,8,2017-09-29,-0.006189206459869941,ridge,Size,market cap relative to its 126-day low
X_feature_market_cap_log_to_min126,9,2020-02-20,-0.008986637617150942,ridge,Size,market cap relative to its 126-day low
X_feature_market_cap_log_to_min126,10,2022-07-08,-0.011564484797418118,ridge,Size,market cap relative to its 126-day low
X_feature_market_cap_log_to_min126,11,2024-11-25,-0.011388416402041912,ridge,Size,market cap relative to its 126-day low
X_feature_market_cap_log_to_min504,0,1998-09-03,-0.014680517526964346,ridge,Size,market cap relative to its 504-day low
X_feature_market_cap_log_to_min504,1,2001-01-22,-0.027604812756180763,ridge,Size,market cap relative to its 504-day low
X_feature_market_cap_log_to_min504,2,2003-06-13,-0.01673744060099125,ridge,Size,market cap relative to its 504-day low
X_feature_market_cap_log_to_min504,3,2005-10-28,-0.026674826319019,ridge,Size,market cap relative to its 504-day low
X_feature_market_cap_log_to_min504,4,2008-03-20,-0.019308921570579212,ridge,Size,market cap relative to its 504-day low
X_feature_market_cap_log_to_min504,5,2010-08-06,-0.010001019574701786,ridge,Size,market cap relative to its 504-day low
X_feature_market_cap_log_to_min504,6,2012-12-24,-0.007221574739863475,ridge,Size,market cap relative to its 504-day low
X_feature_market_cap_log_to_min504,7,2015-05-14,-0.005388790741562843,ridge,Size,market cap relative to its 504-day low
X_feature_market_cap_log_to_min504,8,2017-09-29,-0.003905268075565497,ridge,Size,market cap relative to its 504-day low
X_feature_market_cap_log_to_min504,9,2020-02-20,-0.0028284262710561356,ridge,Size,market cap relative to its 504-day low
X_feature_market_cap_log_to_min504,10,2022-07-08,0.00008490823408161911,ridge,Size,market cap relative to its 504-day low
X_feature_market_cap_log_to_min504,11,2024-11-25,0.0025963402974108853,ridge,Size,market cap relative to its 504-day low
X_feature_market_corr252,0,1998-09-03,-0.0026252356668313346,ridge,Market correlation,correlation with the market over 252 days
X_feature_market_corr252,1,2001-01-22,0.007583984329054753,ridge,Market correlation,correlation with the market over 252 days
X_feature_market_corr252,2,2003-06-13,0.0002645895486542334,ridge,Market correlation,correlation with the market over 252 days
X_feature_market_corr252,3,2005-10-28,-0.005153500630209844,ridge,Market correlation,correlation with the market over 252 days
X_feature_market_corr252,4,2008-03-20,-0.004200599621981382,ridge,Market correlation,correlation with the market over 252 days
X_feature_market_corr252,5,2010-08-06,-0.00035295668931212276,ridge,Market correlation,correlation with the market over 252 days
X_feature_market_corr252,6,2012-12-24,-0.0013230010323847334,ridge,Market correlation,correlation with the market over 252 days
X_feature_market_corr252,7,2015-05-14,-0.000040035738493315876,ridge,Market correlation,correlation with the market over 252 days
X_feature_market_corr252,8,2017-09-29,0.0015144216595217586,ridge,Market correlation,correlation with the market over 252 days
X_feature_market_corr252,9,2020-02-20,0.0027493718080222607,ridge,Market correlation,correlation with the market over 252 days
X_feature_market_corr252,10,2022-07-08,-0.00011116992633712168,ridge,Market correlation,correlation with the market over 252 days
X_feature_market_corr252,11,2024-11-25,-0.0021321347448974848,ridge,Market correlation,correlation with the market over 252 days
X_feature_market_corr504,0,1998-09-03,0.006029778781036536,ridge,Market correlation,correlation with the market over 504 days
X_feature_market_corr504,1,2001-01-22,0.01215224340558052,ridge,Market correlation,correlation with the market over 504 days
X_feature_market_corr504,2,2003-06-13,0.009079160479207834,ridge,Market correlation,correlation with the market over 504 days
X_feature_market_corr504,3,2005-10-28,0.005607020730773608,ridge,Market correlation,correlation with the market over 504 days
X_feature_market_corr504,4,2008-03-20,0.005243323432902495,ridge,Market correlation,correlation with the market over 504 days
X_feature_market_corr504,5,2010-08-06,0.004332245327532291,ridge,Market correlation,correlation with the market over 504 days
X_feature_market_corr504,6,2012-12-24,0.007632398667434852,ridge,Market correlation,correlation with the market over 504 days
X_feature_market_corr504,7,2015-05-14,0.007148003360877435,ridge,Market correlation,correlation with the market over 504 days
X_feature_market_corr504,8,2017-09-29,0.0051117236725986,ridge,Market correlation,correlation with the market over 504 days
X_feature_market_corr504,9,2020-02-20,0.003790598285074035,ridge,Market correlation,correlation with the market over 504 days
X_feature_market_corr504,10,2022-07-08,0.006471973843872547,ridge,Market correlation,correlation with the market over 504 days
X_feature_market_corr504,11,2024-11-25,0.009020350563029448,ridge,Market correlation,correlation with the market over 504 days
X_feature_price_atr126,0,1998-09-03,-0.005443048352996509,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 126 days"
X_feature_price_atr126,1,2001-01-22,-0.004461472233136495,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 126 days"
X_feature_price_atr126,2,2003-06-13,-0.0072042242002983885,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 126 days"
X_feature_price_atr126,3,2005-10-28,-0.008162422726551691,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 126 days"
X_feature_price_atr126,4,2008-03-20,-0.007270952376226584,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 126 days"
X_feature_price_atr126,5,2010-08-06,-0.01477892603725195,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 126 days"
X_feature_price_atr126,6,2012-12-24,-0.013960575684905052,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 126 days"
X_feature_price_atr126,7,2015-05-14,-0.013649657679100832,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 126 days"
X_feature_price_atr126,8,2017-09-29,-0.01827840010325114,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 126 days"
X_feature_price_atr126,9,2020-02-20,-0.020809855312108994,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 126 days"
X_feature_price_atr126,10,2022-07-08,-0.018870277951161068,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 126 days"
X_feature_price_atr126,11,2024-11-25,-0.01868523160616557,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 126 days"
X_feature_price_atr21,0,1998-09-03,-0.020408570145567257,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 21 days"
X_feature_price_atr21,1,2001-01-22,-0.010554175513486067,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 21 days"
X_feature_price_atr21,2,2003-06-13,0.0005998392298351973,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 21 days"
X_feature_price_atr21,3,2005-10-28,-0.004169392942761381,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 21 days"
X_feature_price_atr21,4,2008-03-20,-0.002824686545257767,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 21 days"
X_feature_price_atr21,5,2010-08-06,-0.0015160418891658385,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 21 days"
X_feature_price_atr21,6,2012-12-24,-0.006263720026860635,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 21 days"
X_feature_price_atr21,7,2015-05-14,-0.007726052775979042,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 21 days"
X_feature_price_atr21,8,2017-09-29,-0.009488439187407494,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 21 days"
X_feature_price_atr21,9,2020-02-20,-0.012076004408299923,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 21 days"
X_feature_price_atr21,10,2022-07-08,-0.013218226532141367,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 21 days"
X_feature_price_atr21,11,2024-11-25,-0.01446513645350933,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 21 days"
X_feature_price_atr5,0,1998-09-03,-0.018085023388266563,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 5 days"
X_feature_price_atr5,1,2001-01-22,-0.01256002609928449,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 5 days"
X_feature_price_atr5,2,2003-06-13,-0.012495858905216059,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 5 days"
X_feature_price_atr5,3,2005-10-28,-0.01301917340606451,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 5 days"
X_feature_price_atr5,4,2008-03-20,-0.010959936926762262,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 5 days"
X_feature_price_atr5,5,2010-08-06,-0.01118396253635486,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 5 days"
X_feature_price_atr5,6,2012-12-24,-0.012072171084582806,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 5 days"
X_feature_price_atr5,7,2015-05-14,-0.013164361007511616,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 5 days"
X_feature_price_atr5,8,2017-09-29,-0.013094375220437845,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 5 days"
X_feature_price_atr5,9,2020-02-20,-0.01156961265951395,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 5 days"
X_feature_price_atr5,10,2022-07-08,-0.012811100420852503,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 5 days"
X_feature_price_atr5,11,2024-11-25,-0.012314361209670702,ridge,Volatility,"average daily high-low range incl. overnight gaps (ATR, relative), 5 days"
X_feature_price_bb_pct10,0,1998-09-03,0.00695312162861228,ridge,Momentum & trend,position within 10-day Bollinger bands (%B)
X_feature_price_bb_pct10,1,2001-01-22,0.006057628740866979,ridge,Momentum & trend,position within 10-day Bollinger bands (%B)
X_feature_price_bb_pct10,2,2003-06-13,-0.00009388800632829468,ridge,Momentum & trend,position within 10-day Bollinger bands (%B)
X_feature_price_bb_pct10,3,2005-10-28,-0.0015573884156765416,ridge,Momentum & trend,position within 10-day Bollinger bands (%B)
X_feature_price_bb_pct10,4,2008-03-20,-0.00155984892626293,ridge,Momentum & trend,position within 10-day Bollinger bands (%B)
X_feature_price_bb_pct10,5,2010-08-06,-0.0026373172683330872,ridge,Momentum & trend,position within 10-day Bollinger bands (%B)
X_feature_price_bb_pct10,6,2012-12-24,-0.004571778311704596,ridge,Momentum & trend,position within 10-day Bollinger bands (%B)
X_feature_price_bb_pct10,7,2015-05-14,-0.0038343806906292834,ridge,Momentum & trend,position within 10-day Bollinger bands (%B)
X_feature_price_bb_pct10,8,2017-09-29,-0.0034322884554664292,ridge,Momentum & trend,position within 10-day Bollinger bands (%B)
X_feature_price_bb_pct10,9,2020-02-20,-0.0017647748269761603,ridge,Momentum & trend,position within 10-day Bollinger bands (%B)
X_feature_price_bb_pct10,10,2022-07-08,-0.0022230809457444898,ridge,Momentum & trend,position within 10-day Bollinger bands (%B)
X_feature_price_bb_pct10,11,2024-11-25,-0.003092113610667487,ridge,Momentum & trend,position within 10-day Bollinger bands (%B)
X_feature_price_bb_pct126,0,1998-09-03,0.02081494654218356,ridge,Momentum & trend,position within 126-day Bollinger bands (%B)
X_feature_price_bb_pct126,1,2001-01-22,0.02162274035314719,ridge,Momentum & trend,position within 126-day Bollinger bands (%B)
X_feature_price_bb_pct126,2,2003-06-13,0.013318130436042944,ridge,Momentum & trend,position within 126-day Bollinger bands (%B)
X_feature_price_bb_pct126,3,2005-10-28,0.011554094652334848,ridge,Momentum & trend,position within 126-day Bollinger bands (%B)
X_feature_price_bb_pct126,4,2008-03-20,0.00870852917432785,ridge,Momentum & trend,position within 126-day Bollinger bands (%B)
X_feature_price_bb_pct126,5,2010-08-06,0.006548771324257056,ridge,Momentum & trend,position within 126-day Bollinger bands (%B)
X_feature_price_bb_pct126,6,2012-12-24,0.008654731636246046,ridge,Momentum & trend,position within 126-day Bollinger bands (%B)
X_feature_price_bb_pct126,7,2015-05-14,0.010052630056937536,ridge,Momentum & trend,position within 126-day Bollinger bands (%B)
X_feature_price_bb_pct126,8,2017-09-29,0.009840802599986395,ridge,Momentum & trend,position within 126-day Bollinger bands (%B)
X_feature_price_bb_pct126,9,2020-02-20,0.01005351822823286,ridge,Momentum & trend,position within 126-day Bollinger bands (%B)
X_feature_price_bb_pct126,10,2022-07-08,0.011135407413045565,ridge,Momentum & trend,position within 126-day Bollinger bands (%B)
X_feature_price_bb_pct126,11,2024-11-25,0.00937697539726893,ridge,Momentum & trend,position within 126-day Bollinger bands (%B)
X_feature_price_bb_pct21,0,1998-09-03,-0.0054361239696542425,ridge,Momentum & trend,position within 21-day Bollinger bands (%B)
X_feature_price_bb_pct21,1,2001-01-22,0.006932837733378013,ridge,Momentum & trend,position within 21-day Bollinger bands (%B)
X_feature_price_bb_pct21,2,2003-06-13,-0.0010529241990298033,ridge,Momentum & trend,position within 21-day Bollinger bands (%B)
X_feature_price_bb_pct21,3,2005-10-28,-0.006282508218040069,ridge,Momentum & trend,position within 21-day Bollinger bands (%B)
X_feature_price_bb_pct21,4,2008-03-20,-0.00563792884349823,ridge,Momentum & trend,position within 21-day Bollinger bands (%B)
