predictor_a,predictor_b,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
X_feature_price_bb_pct5,X_feature_market_cap_log_std126,-0.007247,0.049031,-0.047381,-0.001898,-0.044565,-0.011889,-0.018221,0.011618,-0.023698,-0.000108,-0.006602,-0.012704,-0.034494,-0.030528,-0.013066,-0.035071,-0.031119,-0.051992,-0.012236,-0.039493,-0.004270,-0.001720,-0.054395,0.017509
X_feature_price_bb_pct5,X_feature_market_cap_log_std504,0.004532,0.056787,-0.053596,-0.006855,-0.035289,-0.008022,-0.013365,0.021496,-0.039049,0.000468,-0.014738,-0.010267,-0.020758,-0.005032,-0.012098,-0.040720,-0.033176,-0.026577,-0.015023,-0.029743,-0.011142,-0.017040,-0.014215,0.004109
X_feature_price_bb_pct5,X_feature_market_cap_log_std252,0.001171,0.056012,-0.042857,0.002344,-0.042404,-0.014759,-0.011754,0.020450,-0.027324,0.000875,-0.016901,-0.012333,-0.015748,-0.015808,-0.006206,-0.028088,-0.031217,-0.046348,-0.015618,-0.037424,-0.000359,-0.025974,-0.043897,0.016208
X_feature_price_bb_pct5,X_feature_market_cap_log_diff_126,-0.132986,-0.144330,-0.155987,-0.110534,-0.113884,-0.091994,-0.120594,-0.122383,-0.116692,-0.136678,-0.128843,-0.068823,-0.116186,-0.121770,-0.076548,-0.103749,-0.105227,-0.166514,-0.148896,-0.124386,-0.156375,-0.101605,-0.139565,-0.147998
X_feature_price_bb_pct5,X_feature_market_cap_log_to_min126,0.212585,0.223931,0.218153,0.212797,0.206547,0.121187,0.175411,0.173216,0.168741,0.209222,0.289371,0.111022,0.162110,0.182476,0.141862,0.118733,0.147502,0.237916,0.210466,0.165213,0.255879,0.183592,0.148083,0.184063
X_feature_price_bb_pct5,X_feature_market_cap_log_to_max504,-0.194657,-0.153841,-0.172059,-0.072601,-0.128169,-0.107701,-0.207016,-0.176560,-0.171547,-0.174797,-0.118122,-0.056798,-0.136597,-0.197569,-0.094612,-0.212634,-0.178298,-0.210216,-0.113010,-0.191778,-0.197723,-0.108564,-0.188275,-0.232280
X_feature_price_bb_pct5,X_feature_market_cap_log_diff_504,-0.068926,-0.098278,-0.009716,-0.021633,-0.088618,-0.054192,-0.056451,-0.067274,-0.031151,-0.072439,-0.086915,-0.049062,-0.056060,-0.067277,-0.044593,-0.044551,-0.032327,-0.122950,-0.046756,-0.082110,-0.055682,-0.047934,-0.140775,-0.064052
X_feature_price_bb_pct5,X_feature_market_cap_log_to_min504,-0.084799,-0.131680,-0.042121,-0.064884,-0.108339,-0.066708,-0.045080,-0.077329,-0.033202,-0.093945,-0.196188,-0.084544,-0.028259,-0.075780,-0.063057,-0.042828,-0.025405,-0.133767,-0.115132,-0.060335,-0.086108,-0.083385,-0.143572,-0.072737
X_feature_price_bb_pct5,X_feature_pv_pv_corr21,0.079762,0.125334,0.114734,0.105908,0.108514,0.106204,0.117881,0.116108,0.106753,0.113702,0.087173,0.105920,0.094892,0.092334,0.106056,0.103156,0.112186,0.107105,0.113290,0.131181,0.104992,0.088016,0.074239,0.083320
X_feature_price_bb_pct5,X_feature_pv_pv_corr126,0.043982,0.057690,0.047415,0.041982,0.025794,0.033881,0.042521,0.043679,0.037347,0.053598,0.032070,0.021446,0.023820,0.037240,0.021045,0.026451,0.033728,0.051263,0.042503,0.045330,0.047036,0.031947,0.007001,0.037269
X_feature_price_bb_pct5,X_feature_pv_pv_corr63,0.042592,0.078109,0.059512,0.048809,0.042086,0.051675,0.062695,0.063335,0.049704,0.069305,0.035282,0.051494,0.043276,0.055365,0.044025,0.046924,0.052189,0.070315,0.060533,0.071917,0.068582,0.041502,0.017483,0.056200
X_feature_price_bb_pct5,X_feature_liquidity_turnover_level63,-0.004602,0.066900,-0.038913,0.002242,-0.039405,-0.009062,-0.023095,0.015988,-0.034090,0.004367,-0.008561,-0.010303,-0.024894,-0.002413,-0.016312,-0.033662,-0.018493,-0.049846,-0.019791,-0.039872,-0.012379,-0.009684,-0.026295,-0.019625
X_feature_price_bb_pct5,X_feature_volume_log_volume_ratio_max126,-0.060487,-0.073137,-0.042101,-0.008525,0.014063,-0.017643,-0.023254,-0.020198,-0.035661,-0.026849,-0.006495,-0.022964,-0.034379,-0.015853,-0.022465,-0.016030,-0.018111,-0.001411,-0.019547,0.007718,0.006466,0.003756,-0.008938,-0.024249
X_feature_price_bb_pct5,X_feature_volume_log_volume_ratio_max252,-0.058485,-0.069472,-0.037192,-0.006519,0.014696,-0.013279,-0.016090,-0.017067,-0.028605,-0.026770,-0.008461,-0.016691,-0.025259,-0.016657,-0.014731,-0.009780,-0.017806,0.003533,-0.017642,0.009211,0.010758,0.004133,-0.002778,-0.025848
X_feature_price_bb_pct5,X_feature_pv_illiquidity_mean21,-0.031339,-0.059143,-0.007969,0.017800,-0.001338,0.023152,0.010520,-0.006334,-0.026884,-0.014590,-0.017166,0.002905,-0.007918,-0.035508,0.000248,-0.001722,-0.033282,-0.016132,0.001551,-0.036004,-0.049866,-0.006841,-0.057136,-0.007881
X_feature_price_bb_pct5,X_feature_volume_log_volume_std504,-0.015205,-0.028789,0.012806,0.015436,0.018200,0.023686,0.004292,0.002671,-0.030779,-0.005553,-0.021372,0.004308,-0.020064,-0.024443,-0.008366,-0.007825,-0.027465,0.005020,-0.016412,-0.006020,-0.024847,0.002003,0.006255,-0.026550
X_feature_price_bb_pct5,X_feature_volume_log_volume_std126,-0.018065,-0.034909,0.016135,0.022208,0.003475,0.018511,-0.005029,-0.003461,-0.025823,-0.008631,-0.018748,0.005564,-0.020283,-0.021158,-0.013535,-0.011822,-0.028480,-0.000059,-0.014860,-0.017993,-0.030999,0.000288,0.004970,-0.024080
X_feature_price_bb_pct5,X_feature_volume_log_volume_std63,-0.018965,-0.035220,0.016099,0.021498,0.001533,0.014982,-0.006919,-0.003326,-0.018486,-0.003788,-0.022223,0.010073,-0.018444,-0.019941,-0.014929,-0.010591,-0.031200,0.001895,-0.010823,-0.019909,-0.030874,-0.009068,-0.000521,-0.027263
X_feature_price_bb_pct5,X_feature_market_corr504,-0.028952,-0.045499,0.059728,0.006035,0.031006,0.003823,0.012788,0.026685,-0.024305,0.029659,-0.013732,0.010501,-0.031747,0.006591,-0.027591,-0.035858,0.009380,-0.014101,-0.012473,-0.024006,0.034868,-0.031848,0.012248,-0.056091
X_feature_price_bb_pct5,X_feature_market_corr252,-0.027335,-0.048523,0.059212,0.005846,0.015719,0.001486,0.005283,0.027618,-0.021563,0.028261,-0.016159,0.013515,-0.023941,0.015860,-0.030856,-0.025280,0.008397,-0.021887,-0.014980,-0.019149,0.025759,-0.028004,0.018519,-0.065211
X_feature_price_bb_pct5,X_feature_short_interest_to_volume_log_ratio_std252,-0.020997,-0.017696,-0.000920,0.015334,0.007292,0.017613,0.007967,0.001198,-0.017176,-0.008223,-0.009720,-0.002646,-0.009310,-0.018839,-0.006146,-0.002273,-0.023761,-0.020178,-0.004610,-0.006796,-0.016982,0.006185,-0.013318,-0.018652
X_feature_price_bb_pct5,X_feature_short_interest_to_volume_log_ratio_std63,-0.020226,-0.020300,0.004013,0.014462,-0.005774,0.009154,-0.005244,-0.000997,-0.024428,-0.012997,-0.009733,0.001633,-0.014684,-0.021203,-0.019629,-0.015290,-0.024781,-0.008443,-0.017518,-0.018170,-0.024750,-0.001476,-0.006275,-0.027489
X_feature_price_bb_pct5,X_feature_short_interest_to_volume_log_ratio,-0.047000,-0.073312,-0.021741,-0.002415,0.020360,-0.014547,-0.013619,-0.020854,-0.021633,-0.041186,-0.019428,-0.022840,-0.016569,-0.015517,-0.006374,0.000896,-0.000688,-0.004793,-0.010019,0.003614,0.021836,0.000384,-0.011701,-0.018884
X_feature_price_bb_pct5,X_feature_short_interest_to_volume_log_ratio_mean252,-0.004215,-0.027852,0.018850,0.004442,0.024455,0.001107,-0.001056,-0.013832,-0.012862,-0.026128,-0.017444,0.000627,0.002077,-0.007659,0.005132,0.000422,-0.006723,-0.002335,-0.011267,-0.003285,0.012258,-0.006394,0.002742,-0.019973
X_feature_price_bb_pct5,X_feature_short_interest_to_volume_log_ratio_mean63,-0.012864,-0.038443,0.012155,0.005284,0.011791,0.001472,0.002419,-0.012414,-0.013155,-0.024281,-0.024800,0.001219,-0.004352,-0.008291,0.002965,0.004483,0.000888,-0.004574,-0.010428,-0.002980,0.010558,-0.002211,0.002159,-0.016337
X_feature_price_bb_pct5,X_feature_short_interest_log_diff21,-0.003460,-0.000476,-0.006641,-0.006036,-0.001853,0.003285,-0.004203,0.002092,0.004156,-0.003284,-0.001822,-0.006547,0.002626,-0.012775,-0.000798,-0.011145,0.000561,-0.011388,-0.007813,-0.019638,0.001583,-0.006799,-0.004083,-0.008830
X_feature_price_bb_pct5,X_feature_short_interest_log_diff252,-0.012452,-0.016470,-0.016543,-0.004043,-0.015885,-0.000576,0.005625,0.003310,0.000546,-0.016992,-0.021347,-0.008004,-0.012866,-0.007794,-0.000718,0.001500,0.014793,-0.031932,-0.003596,-0.012276,0.002400,-0.000845,-0.011613,-0.002834
X_feature_price_bb_pct5,X_feature_short_interest_log_diff63,-0.006050,-0.002769,-0.006925,-0.002659,-0.003574,-0.010912,0.001525,0.001431,-0.001394,-0.011649,-0.006426,-0.001364,0.000318,-0.004680,0.004143,-0.003188,0.002553,-0.015346,-0.006228,-0.009186,-0.001227,-0.007974,-0.009414,-0.005745
X_feature_price_bb_pct5,X_feature_short_interest_log_diff126,-0.009785,-0.012371,-0.013461,-0.004477,-0.009915,-0.004808,0.007199,0.000037,-0.000392,-0.008569,-0.014343,-0.007310,-0.012244,-0.006141,-0.007007,0.001946,0.003630,-0.013966,-0.008455,-0.006991,-0.007704,0.005840,-0.013242,-0.011493
X_feature_price_price_to_min5,X_feature_price_price_to_ma21,0.505037,0.538015,0.487659,0.456804,0.426077,0.522987,0.509055,0.507563,0.496232,0.503449,0.445526,0.516141,0.519832,0.470273,0.499451,0.520049,0.493969,0.465018,0.501475,0.507544,0.496269,0.483497,0.504947,0.486414
X_feature_price_price_to_min5,X_feature_price_bb_pct21,0.587176,0.616702,0.553866,0.529327,0.505682,0.563669,0.574028,0.584826,0.555856,0.576699,0.539974,0.563725,0.598818,0.529832,0.553513,0.579609,0.563130,0.532584,0.561179,0.572512,0.574464,0.538640,0.570345,0.548359
X_feature_price_price_to_min5,X_feature_price_price_to_ma10,0.724553,0.730122,0.694101,0.664029,0.649775,0.721852,0.719801,0.721702,0.713948,0.700564,0.655256,0.711103,0.727918,0.670308,0.717629,0.736450,0.719153,0.682550,0.709394,0.728881,0.702653,0.707167,0.711574,0.707916
X_feature_price_price_to_min5,X_feature_price_bb_pct10,0.747576,0.770372,0.728202,0.695983,0.691000,0.717432,0.733005,0.749938,0.721372,0.728263,0.695382,0.707198,0.741387,0.687769,0.713999,0.720777,0.723781,0.712425,0.724179,0.742213,0.737700,0.699992,0.717633,0.721034
