date,theme,ic
1999-06-09,Momentum & trend,0.038594
1999-06-09,Short-term reversal,-0.018571
1999-06-09,Volatility,-0.060228
1999-06-09,Size,0.035862
1999-06-09,Liquidity & volume,0.115722
1999-06-09,Market correlation,0.136204
1999-06-09,Short positioning,0.097703
1999-06-16,Momentum & trend,0.062521
1999-06-16,Short-term reversal,0.019821
1999-06-16,Volatility,-0.075046
1999-06-16,Size,0.023401
1999-06-16,Liquidity & volume,0.021644
1999-06-16,Market correlation,0.082473
1999-06-16,Short positioning,0.077497
1999-06-23,Momentum & trend,0.026001
1999-06-23,Short-term reversal,-0.028075
1999-06-23,Volatility,-0.009091
1999-06-23,Size,0.027306
1999-06-23,Liquidity & volume,0.000236
1999-06-23,Market correlation,0.006493
1999-06-23,Short positioning,0.070236
1999-06-30,Momentum & trend,0.152775
1999-06-30,Short-term reversal,0.148470
1999-06-30,Volatility,0.013981
1999-06-30,Size,-0.050493
1999-06-30,Liquidity & volume,-0.052800
1999-06-30,Market correlation,-0.104634
1999-06-30,Short positioning,0.001676
1999-07-08,Momentum & trend,0.101726
1999-07-08,Short-term reversal,0.135663
1999-07-08,Volatility,0.005270
1999-07-08,Size,-0.017315
1999-07-08,Liquidity & volume,-0.027664
1999-07-08,Market correlation,-0.155665
1999-07-08,Short positioning,0.010216
1999-07-15,Momentum & trend,0.058623
1999-07-15,Short-term reversal,0.066161
1999-07-15,Volatility,-0.042425
1999-07-15,Size,-0.036331
1999-07-15,Liquidity & volume,-0.012939
1999-07-15,Market correlation,-0.083794
1999-07-15,Short positioning,0.059041
1999-07-22,Momentum & trend,0.073268
1999-07-22,Short-term reversal,0.059955
1999-07-22,Volatility,-0.087872
1999-07-22,Size,-0.038495
1999-07-22,Liquidity & volume,0.074633
1999-07-22,Market correlation,0.008451
1999-07-22,Short positioning,0.079292
1999-07-29,Momentum & trend,0.049535
1999-07-29,Short-term reversal,-0.017611
1999-07-29,Volatility,-0.077073
1999-07-29,Size,0.028211
1999-07-29,Liquidity & volume,0.091830
1999-07-29,Market correlation,0.072108
1999-07-29,Short positioning,0.092199
1999-08-05,Momentum & trend,0.093856
1999-08-05,Short-term reversal,0.060852
1999-08-05,Volatility,-0.091832
1999-08-05,Size,-0.029245
1999-08-05,Liquidity & volume,0.039661
1999-08-05,Market correlation,0.041700
1999-08-05,Short positioning,0.050663
1999-08-12,Momentum & trend,0.059589
1999-08-12,Short-term reversal,-0.054957
1999-08-12,Volatility,-0.090908
1999-08-12,Size,0.008904
1999-08-12,Liquidity & volume,0.046629
1999-08-12,Market correlation,0.067830
1999-08-12,Short positioning,0.077005
1999-08-19,Momentum & trend,0.090558
1999-08-19,Short-term reversal,-0.051630
1999-08-19,Volatility,-0.131448
1999-08-19,Size,0.001964
1999-08-19,Liquidity & volume,-0.013119
1999-08-19,Market correlation,0.036019
1999-08-19,Short positioning,0.057661
1999-08-26,Momentum & trend,0.089036
1999-08-26,Short-term reversal,-0.006091
1999-08-26,Volatility,-0.178406
1999-08-26,Size,-0.087210
1999-08-26,Liquidity & volume,-0.061349
1999-08-26,Market correlation,0.007063
1999-08-26,Short positioning,0.037166
1999-09-02,Momentum & trend,0.068888
1999-09-02,Short-term reversal,-0.067977
1999-09-02,Volatility,-0.108859
1999-09-02,Size,-0.025419
1999-09-02,Liquidity & volume,-0.012019
1999-09-02,Market correlation,0.076541
1999-09-02,Short positioning,0.060064
1999-09-10,Momentum & trend,0.121137
1999-09-10,Short-term reversal,-0.048209
1999-09-10,Volatility,-0.059414
1999-09-10,Size,0.058712
1999-09-10,Liquidity & volume,0.046346
1999-09-10,Market correlation,0.181900
1999-09-10,Short positioning,0.065240
1999-09-17,Momentum & trend,0.135688
1999-09-17,Short-term reversal,0.010418
1999-09-17,Volatility,-0.080523
1999-09-17,Size,-0.015825
1999-09-17,Liquidity & volume,-0.033748
1999-09-17,Market correlation,0.080765
1999-09-17,Short positioning,0.042375
1999-09-24,Momentum & trend,0.131306
1999-09-24,Short-term reversal,-0.064077
1999-09-24,Volatility,0.028886
1999-09-24,Size,0.105164
1999-09-24,Liquidity & volume,0.058023
1999-09-24,Market correlation,0.144900
1999-09-24,Short positioning,0.063227
1999-10-01,Momentum & trend,0.158154
1999-10-01,Short-term reversal,0.015517
1999-10-01,Volatility,0.043155
1999-10-01,Size,0.103527
1999-10-01,Liquidity & volume,0.083031
1999-10-01,Market correlation,0.135127
1999-10-01,Short positioning,0.092157
1999-10-08,Momentum & trend,0.121419
1999-10-08,Short-term reversal,0.083582
1999-10-08,Volatility,-0.058209
1999-10-08,Size,-0.017805
1999-10-08,Liquidity & volume,-0.036813
1999-10-08,Market correlation,0.002589
1999-10-08,Short positioning,0.044532
1999-10-15,Momentum & trend,0.123980
1999-10-15,Short-term reversal,-0.076131
1999-10-15,Volatility,-0.037174
1999-10-15,Size,0.067511
1999-10-15,Liquidity & volume,0.082786
1999-10-15,Market correlation,0.154733
1999-10-15,Short positioning,0.060278
1999-10-22,Momentum & trend,0.051734
1999-10-22,Short-term reversal,-0.009230
1999-10-22,Volatility,-0.085188
1999-10-22,Size,-0.054268
1999-10-22,Liquidity & volume,-0.019512
1999-10-22,Market correlation,0.035995
1999-10-22,Short positioning,0.029919
1999-10-29,Momentum & trend,0.089840
1999-10-29,Short-term reversal,0.068242
1999-10-29,Volatility,-0.152260
1999-10-29,Size,-0.103789
1999-10-29,Liquidity & volume,-0.063495
1999-10-29,Market correlation,-0.005567
1999-10-29,Short positioning,0.009395
1999-11-05,Momentum & trend,0.110822
1999-11-05,Short-term reversal,0.031456
1999-11-05,Volatility,-0.090448
1999-11-05,Size,-0.012881
1999-11-05,Liquidity & volume,0.026747
1999-11-05,Market correlation,0.038278
1999-11-05,Short positioning,0.050038
1999-11-12,Momentum & trend,0.027378
1999-11-12,Short-term reversal,-0.067038
1999-11-12,Volatility,-0.158774
1999-11-12,Size,-0.055513
1999-11-12,Liquidity & volume,-0.013344
1999-11-12,Market correlation,0.018413
1999-11-12,Short positioning,0.012570
1999-11-19,Momentum & trend,0.123830
1999-11-19,Short-term reversal,-0.090497
1999-11-19,Volatility,-0.102760
1999-11-19,Size,0.018080
1999-11-19,Liquidity & volume,-0.016550
1999-11-19,Market correlation,0.030189
1999-11-19,Short positioning,-0.023827
1999-11-29,Momentum & trend,0.173293
1999-11-29,Short-term reversal,0.013623
